10_1.wsq: is A; nn: hyp W, conf 0.78; conup n; hyp W, conf 0.78; wrong
13_3.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
13_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
13_5.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
13_6.wsq: is A; nn: hyp L, conf 0.94; conup n; hyp L, conf 0.94; wrong
13_7.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
13_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
14_1.wsq: is A; nn: hyp R, conf 0.72; conup n; hyp R, conf 0.72; wrong
14_2.wsq: is A; nn: hyp R, conf 0.72; conup n; hyp R, conf 0.72; wrong
14_3.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
14_4.wsq: is A; nn: hyp L, conf 0.67; conup n; hyp L, conf 0.67; wrong
14_5.wsq: is A; nn: hyp L, conf 0.61; conup n; hyp L, conf 0.61; wrong
14_6.wsq: is A; nn: hyp R, conf 0.69; conup n; hyp R, conf 0.69; wrong
14_7.wsq: is A; nn: hyp R, conf 0.41; conup n; hyp R, conf 0.41; wrong
14_8.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
15_1.wsq: is A; nn: hyp L, conf 0.81; conup n; hyp L, conf 0.81; wrong
15_2.wsq: is A; nn: hyp L, conf 0.63; conup n; hyp L, conf 0.63; wrong
15_3.wsq: is A; nn: hyp L, conf 0.83; conup n; hyp L, conf 0.83; wrong
15_4.wsq: is A; nn: hyp L, conf 0.94; conup n; hyp L, conf 0.94; wrong
15_5.wsq: is A; nn: hyp L, conf 0.84; conup n; hyp L, conf 0.84; wrong
15_6.wsq: is A; nn: hyp L, conf 0.91; conup n; hyp L, conf 0.91; wrong
15_7.wsq: is A; nn: hyp L, conf 0.63; conup n; hyp L, conf 0.63; wrong
15_8.wsq: is A; nn: hyp R, conf 0.57; conup n; hyp R, conf 0.57; wrong
16_1.wsq: is A; nn: hyp L, conf 0.71; conup n; hyp L, conf 0.71; wrong
16_2.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
16_3.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
16_4.wsq: is A; nn: hyp L, conf 0.93; conup n; hyp L, conf 0.93; wrong
16_5.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
16_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
16_7.wsq: is A; nn: hyp L, conf 0.82; conup n; hyp L, conf 0.82; wrong
16_8.wsq: is A; nn: hyp L, conf 0.87; conup n; hyp L, conf 0.87; wrong
17_1.wsq: is A; nn: hyp W, conf 0.92; conup y; hyp W, conf 1.00; wrong
17_2.wsq: is A; nn: hyp W, conf 0.95; conup y; hyp W, conf 1.00; wrong
17_3.wsq: is A; nn: hyp W, conf 0.84; conup y; hyp W, conf 1.00; wrong
17_4.wsq: is A; nn: hyp W, conf 0.97; conup y; hyp W, conf 1.00; wrong
17_5.wsq: is A; nn: hyp W, conf 0.71; conup y; hyp W, conf 1.00; wrong
17_6.wsq: is A; nn: hyp W, conf 0.95; conup y; hyp W, conf 1.00; wrong
17_7.wsq: is A; nn: hyp W, conf 0.90; conup y; hyp W, conf 1.00; wrong
17_8.wsq: is A; nn: hyp R, conf 0.42; conup y; hyp W, conf 0.90; wrong
18_1.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
18_2.wsq: is A; nn: hyp R, conf 0.77; conup n; hyp R, conf 0.77; wrong
18_3.wsq: is A; nn: hyp R, conf 0.97; conup n; hyp R, conf 0.97; wrong
18_4.wsq: is A; nn: hyp R, conf 0.91; conup n; hyp R, conf 0.91; wrong
18_5.wsq: is A; nn: hyp R, conf 0.83; conup n; hyp R, conf 0.83; wrong
18_6.wsq: is A; nn: hyp R, conf 0.90; conup n; hyp R, conf 0.90; wrong
18_7.wsq: is A; nn: hyp R, conf 0.95; conup n; hyp R, conf 0.95; wrong
18_8.wsq: is A; nn: hyp R, conf 0.80; conup n; hyp R, conf 0.80; wrong
19_1.wsq: is A; nn: hyp R, conf 0.87; conup n; hyp R, conf 0.87; wrong
19_2.wsq: is A; nn: hyp L, conf 0.47; conup n; hyp L, conf 0.47; wrong
19_3.wsq: is A; nn: hyp R, conf 0.53; conup n; hyp R, conf 0.53; wrong
19_4.wsq: is A; nn: hyp R, conf 0.52; conup n; hyp R, conf 0.52; wrong
19_5.wsq: is A; nn: hyp R, conf 0.54; conup n; hyp R, conf 0.54; wrong
19_6.wsq: is A; nn: hyp R, conf 0.92; conup n; hyp R, conf 0.92; wrong
19_7.wsq: is A; nn: hyp R, conf 0.48; conup n; hyp R, conf 0.48; wrong
19_8.wsq: is A; nn: hyp R, conf 0.59; conup n; hyp R, conf 0.59; wrong
1_1.wsq: is A; nn: hyp R, conf 0.59; conup n; hyp R, conf 0.59; wrong
1_2.wsq: is A; nn: hyp R, conf 0.74; conup n; hyp R, conf 0.74; wrong
1_3.wsq: is A; nn: hyp R, conf 0.65; conup n; hyp R, conf 0.65; wrong
1_4.wsq: is A; nn: hyp R, conf 0.75; conup n; hyp R, conf 0.75; wrong
1_5.wsq: is A; nn: hyp R, conf 0.63; conup n; hyp R, conf 0.63; wrong
1_6.wsq: is A; nn: hyp R, conf 0.62; conup n; hyp R, conf 0.62; wrong
1_7.wsq: is A; nn: hyp R, conf 0.92; conup n; hyp R, conf 0.92; wrong
1_8.wsq: is A; nn: hyp R, conf 0.64; conup n; hyp R, conf 0.64; wrong
20_1.wsq: is A; nn: hyp L, conf 0.33; conup y; hyp W, conf 0.90; wrong
20_2.wsq: is A; nn: hyp W, conf 0.49; conup y; hyp W, conf 1.00; wrong
20_3.wsq: is A; nn: hyp L, conf 0.64; conup y; hyp W, conf 0.90; wrong
20_4.wsq: is A; nn: hyp L, conf 0.52; conup y; hyp W, conf 0.90; wrong
20_5.wsq: is A; nn: hyp W, conf 0.67; conup y; hyp W, conf 1.00; wrong
20_6.wsq: is A; nn: hyp W, conf 0.32; conup n; hyp W, conf 0.32; wrong
20_7.wsq: is A; nn: hyp W, conf 0.52; conup y; hyp W, conf 1.00; wrong
20_8.wsq: is A; nn: hyp W, conf 0.73; conup y; hyp W, conf 1.00; wrong
21_1.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
21_2.wsq: is A; nn: hyp L, conf 0.53; conup n; hyp L, conf 0.53; wrong
21_3.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
21_4.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
21_5.wsq: is A; nn: hyp L, conf 0.90; conup n; hyp L, conf 0.90; wrong
21_6.wsq: is A; nn: hyp L, conf 0.90; conup n; hyp L, conf 0.90; wrong
21_7.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
21_8.wsq: is A; nn: hyp L, conf 0.82; conup n; hyp L, conf 0.82; wrong
2_1.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
2_2.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
2_3.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
2_4.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
2_5.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
2_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
2_7.wsq: is A; nn: hyp L, conf 0.95; conup n; hyp L, conf 0.95; wrong
2_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_1.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
3_2.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_3.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
3_5.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
4_1.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
4_2.wsq: is A; nn: hyp W, conf 0.98; conup y; hyp W, conf 1.00; wrong
4_3.wsq: is A; nn: hyp W, conf 0.96; conup y; hyp W, conf 1.00; wrong
4_4.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
4_5.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
4_6.wsq: is A; nn: hyp W, conf 0.93; conup y; hyp W, conf 1.00; wrong
4_7.wsq: is A; nn: hyp W, conf 0.95; conup y; hyp W, conf 1.00; wrong
4_8.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
5_1.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
5_2.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
5_3.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
5_4.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
5_5.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
5_6.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
5_7.wsq: is A; nn: hyp W, conf 1.00; conup n; hyp W, conf 1.00; wrong
5_8.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
6_1.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
6_2.wsq: is A; nn: hyp L, conf 0.94; conup n; hyp L, conf 0.94; wrong
6_3.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
6_4.wsq: is A; nn: hyp L, conf 0.95; conup n; hyp L, conf 0.95; wrong
6_5.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
6_6.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
6_7.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
6_8.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
7_1.wsq: is A; nn: hyp L, conf 0.83; conup n; hyp L, conf 0.83; wrong
7_2.wsq: is A; nn: hyp L, conf 0.82; conup n; hyp L, conf 0.82; wrong
7_3.wsq: is A; nn: hyp L, conf 0.61; conup n; hyp L, conf 0.61; wrong
7_4.wsq: is A; nn: hyp L, conf 0.88; conup n; hyp L, conf 0.88; wrong
7_5.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
7_6.wsq: is A; nn: hyp W, conf 0.42; conup n; hyp W, conf 0.42; wrong
7_7.wsq: is A; nn: hyp L, conf 0.41; conup n; hyp L, conf 0.41; wrong
7_8.wsq: is A; nn: hyp L, conf 0.44; conup n; hyp L, conf 0.44; wrong
8_1.wsq: is A; nn: hyp L, conf 0.47; conup n; hyp L, conf 0.47; wrong
8_2.wsq: is A; nn: hyp W, conf 0.44; conup n; hyp W, conf 0.44; wrong
8_3.wsq: is A; nn: hyp W, conf 0.41; conup n; hyp W, conf 0.41; wrong
8_4.wsq: is A; nn: hyp W, conf 0.37; conup n; hyp W, conf 0.37; wrong
8_5.wsq: is A; nn: hyp W, conf 0.44; conup n; hyp W, conf 0.44; wrong
8_6.wsq: is A; nn: hyp W, conf 0.54; conup n; hyp W, conf 0.54; wrong
8_7.wsq: is A; nn: hyp W, conf 0.56; conup n; hyp W, conf 0.56; wrong
8_8.wsq: is A; nn: hyp W, conf 0.48; conup n; hyp W, conf 0.48; wrong
9_1.wsq: is A; nn: hyp L, conf 0.38; conup n; hyp L, conf 0.38; wrong
9_2.wsq: is A; nn: hyp L, conf 0.41; conup n; hyp L, conf 0.41; wrong
9_3.wsq: is A; nn: hyp W, conf 0.34; conup n; hyp W, conf 0.34; wrong
9_4.wsq: is A; nn: hyp L, conf 0.39; conup n; hyp L, conf 0.39; wrong
9_5.wsq: is A; nn: hyp R, conf 0.34; conup n; hyp R, conf 0.34; wrong
9_6.wsq: is A; nn: hyp L, conf 0.38; conup n; hyp L, conf 0.38; wrong
9_7.wsq: is A; nn: hyp W, conf 0.32; conup n; hyp W, conf 0.32; wrong
9_8.wsq: is A; nn: hyp W, conf 0.39; conup n; hyp W, conf 0.39; wrong
10_1.wsq: is A; nn: hyp W, conf 0.78; conup n; hyp W, conf 0.78; wrong
10_2.wsq: is A; nn: hyp R, conf 0.62; conup n; hyp R, conf 0.62; wrong
10_3.wsq: is A; nn: hyp W, conf 0.63; conup n; hyp W, conf 0.63; wrong
10_4.wsq: is A; nn: hyp W, conf 0.68; conup n; hyp W, conf 0.68; wrong
10_5.wsq: is A; nn: hyp W, conf 0.82; conup n; hyp W, conf 0.82; wrong
10_6.wsq: is A; nn: hyp W, conf 0.62; conup n; hyp W, conf 0.62; wrong
10_7.wsq: is A; nn: hyp L, conf 0.36; conup n; hyp L, conf 0.36; wrong
10_8.wsq: is A; nn: hyp R, conf 0.56; conup n; hyp R, conf 0.56; wrong
11_1.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
11_2.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
11_3.wsq: is A; nn: hyp R, conf 0.88; conup n; hyp R, conf 0.88; wrong
11_4.wsq: is A; nn: hyp R, conf 0.77; conup n; hyp R, conf 0.77; wrong
11_5.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
11_6.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
11_7.wsq: is A; nn: hyp R, conf 0.97; conup n; hyp R, conf 0.97; wrong
11_8.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
12_1.wsq: is A; nn: hyp L, conf 0.61; conup n; hyp L, conf 0.61; wrong
12_2.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
12_3.wsq: is A; nn: hyp L, conf 0.77; conup n; hyp L, conf 0.77; wrong
12_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
12_5.wsq: is A; nn: hyp L, conf 0.61; conup n; hyp L, conf 0.61; wrong
12_6.wsq: is A; nn: hyp L, conf 0.65; conup n; hyp L, conf 0.65; wrong
12_7.wsq: is A; nn: hyp L, conf 0.75; conup n; hyp L, conf 0.75; wrong
12_8.wsq: is A; nn: hyp L, conf 0.87; conup n; hyp L, conf 0.87; wrong
13_1.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
13_2.wsq: is A; nn: hyp L, conf 0.95; conup n; hyp L, conf 0.95; wrong
13_3.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
13_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
13_5.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
13_6.wsq: is A; nn: hyp L, conf 0.94; conup n; hyp L, conf 0.94; wrong
13_7.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
13_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
14_1.wsq: is A; nn: hyp R, conf 0.72; conup n; hyp R, conf 0.72; wrong
14_2.wsq: is A; nn: hyp R, conf 0.72; conup n; hyp R, conf 0.72; wrong
14_3.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
14_4.wsq: is A; nn: hyp L, conf 0.67; conup n; hyp L, conf 0.67; wrong
14_5.wsq: is A; nn: hyp L, conf 0.61; conup n; hyp L, conf 0.61; wrong
14_6.wsq: is A; nn: hyp R, conf 0.69; conup n; hyp R, conf 0.69; wrong
14_7.wsq: is A; nn: hyp R, conf 0.41; conup n; hyp R, conf 0.41; wrong
14_8.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
15_1.wsq: is A; nn: hyp L, conf 0.81; conup n; hyp L, conf 0.81; wrong
15_2.wsq: is A; nn: hyp L, conf 0.63; conup n; hyp L, conf 0.63; wrong
15_3.wsq: is A; nn: hyp L, conf 0.83; conup n; hyp L, conf 0.83; wrong
15_4.wsq: is A; nn: hyp L, conf 0.94; conup n; hyp L, conf 0.94; wrong
15_5.wsq: is A; nn: hyp L, conf 0.84; conup n; hyp L, conf 0.84; wrong
15_6.wsq: is A; nn: hyp L, conf 0.91; conup n; hyp L, conf 0.91; wrong
15_7.wsq: is A; nn: hyp L, conf 0.63; conup n; hyp L, conf 0.63; wrong
15_8.wsq: is A; nn: hyp R, conf 0.57; conup n; hyp R, conf 0.57; wrong
16_1.wsq: is A; nn: hyp L, conf 0.71; conup n; hyp L, conf 0.71; wrong
16_2.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
16_3.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
16_4.wsq: is A; nn: hyp L, conf 0.93; conup n; hyp L, conf 0.93; wrong
16_5.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
16_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
16_7.wsq: is A; nn: hyp L, conf 0.82; conup n; hyp L, conf 0.82; wrong
16_8.wsq: is A; nn: hyp L, conf 0.87; conup n; hyp L, conf 0.87; wrong
17_1.wsq: is A; nn: hyp W, conf 0.92; conup y; hyp W, conf 1.00; wrong
17_2.wsq: is A; nn: hyp W, conf 0.95; conup y; hyp W, conf 1.00; wrong
17_3.wsq: is A; nn: hyp W, conf 0.84; conup y; hyp W, conf 1.00; wrong
17_4.wsq: is A; nn: hyp W, conf 0.97; conup y; hyp W, conf 1.00; wrong
17_5.wsq: is A; nn: hyp W, conf 0.71; conup y; hyp W, conf 1.00; wrong
17_6.wsq: is A; nn: hyp W, conf 0.95; conup y; hyp W, conf 1.00; wrong
17_7.wsq: is A; nn: hyp W, conf 0.90; conup y; hyp W, conf 1.00; wrong
17_8.wsq: is A; nn: hyp R, conf 0.42; conup y; hyp W, conf 0.90; wrong
18_1.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
18_2.wsq: is A; nn: hyp R, conf 0.77; conup n; hyp R, conf 0.77; wrong
18_3.wsq: is A; nn: hyp R, conf 0.97; conup n; hyp R, conf 0.97; wrong
18_4.wsq: is A; nn: hyp R, conf 0.91; conup n; hyp R, conf 0.91; wrong
18_5.wsq: is A; nn: hyp R, conf 0.83; conup n; hyp R, conf 0.83; wrong
18_6.wsq: is A; nn: hyp R, conf 0.90; conup n; hyp R, conf 0.90; wrong
18_7.wsq: is A; nn: hyp R, conf 0.95; conup n; hyp R, conf 0.95; wrong
18_8.wsq: is A; nn: hyp R, conf 0.80; conup n; hyp R, conf 0.80; wrong
19_1.wsq: is A; nn: hyp R, conf 0.87; conup n; hyp R, conf 0.87; wrong
19_2.wsq: is A; nn: hyp L, conf 0.47; conup n; hyp L, conf 0.47; wrong
19_3.wsq: is A; nn: hyp R, conf 0.53; conup n; hyp R, conf 0.53; wrong
19_4.wsq: is A; nn: hyp R, conf 0.52; conup n; hyp R, conf 0.52; wrong
19_5.wsq: is A; nn: hyp R, conf 0.54; conup n; hyp R, conf 0.54; wrong
19_6.wsq: is A; nn: hyp R, conf 0.92; conup n; hyp R, conf 0.92; wrong
19_7.wsq: is A; nn: hyp R, conf 0.48; conup n; hyp R, conf 0.48; wrong
19_8.wsq: is A; nn: hyp R, conf 0.59; conup n; hyp R, conf 0.59; wrong
1_1.wsq: is A; nn: hyp R, conf 0.59; conup n; hyp R, conf 0.59; wrong
1_2.wsq: is A; nn: hyp R, conf 0.74; conup n; hyp R, conf 0.74; wrong
1_3.wsq: is A; nn: hyp R, conf 0.65; conup n; hyp R, conf 0.65; wrong
1_4.wsq: is A; nn: hyp R, conf 0.75; conup n; hyp R, conf 0.75; wrong
1_5.wsq: is A; nn: hyp R, conf 0.63; conup n; hyp R, conf 0.63; wrong
1_6.wsq: is A; nn: hyp R, conf 0.62; conup n; hyp R, conf 0.62; wrong
1_7.wsq: is A; nn: hyp R, conf 0.92; conup n; hyp R, conf 0.92; wrong
1_8.wsq: is A; nn: hyp R, conf 0.64; conup n; hyp R, conf 0.64; wrong
20_1.wsq: is A; nn: hyp L, conf 0.33; conup y; hyp W, conf 0.90; wrong
20_2.wsq: is A; nn: hyp W, conf 0.49; conup y; hyp W, conf 1.00; wrong
20_3.wsq: is A; nn: hyp L, conf 0.64; conup y; hyp W, conf 0.90; wrong
20_4.wsq: is A; nn: hyp L, conf 0.52; conup y; hyp W, conf 0.90; wrong
20_5.wsq: is A; nn: hyp W, conf 0.67; conup y; hyp W, conf 1.00; wrong
20_6.wsq: is A; nn: hyp W, conf 0.32; conup n; hyp W, conf 0.32; wrong
20_7.wsq: is A; nn: hyp W, conf 0.52; conup y; hyp W, conf 1.00; wrong
20_8.wsq: is A; nn: hyp W, conf 0.73; conup y; hyp W, conf 1.00; wrong
21_1.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
21_2.wsq: is A; nn: hyp L, conf 0.53; conup n; hyp L, conf 0.53; wrong
21_3.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
21_4.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
21_5.wsq: is A; nn: hyp L, conf 0.90; conup n; hyp L, conf 0.90; wrong
21_6.wsq: is A; nn: hyp L, conf 0.90; conup n; hyp L, conf 0.90; wrong
21_7.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
21_8.wsq: is A; nn: hyp L, conf 0.82; conup n; hyp L, conf 0.82; wrong
2_1.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
2_2.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
2_3.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
2_4.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
2_5.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
2_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
2_7.wsq: is A; nn: hyp L, conf 0.95; conup n; hyp L, conf 0.95; wrong
2_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_1.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
3_2.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_3.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
3_5.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
3_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
4_1.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
4_2.wsq: is A; nn: hyp W, conf 0.98; conup y; hyp W, conf 1.00; wrong
4_3.wsq: is A; nn: hyp W, conf 0.96; conup y; hyp W, conf 1.00; wrong
4_4.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
4_5.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
4_6.wsq: is A; nn: hyp W, conf 0.93; conup y; hyp W, conf 1.00; wrong
4_7.wsq: is A; nn: hyp W, conf 0.95; conup y; hyp W, conf 1.00; wrong
4_8.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
5_1.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
5_2.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
5_3.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
5_4.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
5_5.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
5_6.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
5_7.wsq: is A; nn: hyp W, conf 1.00; conup n; hyp W, conf 1.00; wrong
